"report number","date","weather","latitude","longitude"
"MCP3262006N","2025-12-31","Clear",39.06918724,-77.1618881
"MCP28990072","2025-12-31","Clear",39.073,-76.95965333
"DD5704000C","2025-12-31","Clear",39.06974343,-77.16980243
"EJ78710096","2025-12-31","Clear",39.11766875,-77.21673685
"MCP287100DC","2025-12-31","Clear",39.02423217,-77.102927
"MCP32580060","2025-12-31","Clear",39.04313912,-77.05074745
"MCP3372004J","2025-12-31","Clear",39.07646767,-77.08041483
"DD56800028","2025-12-31","Clear",39.07546663,-77.11726317
"MCP3258005Z","2025-12-31","Clear",39.033905,-77.04914883
"EJ78710094","2025-12-31","Clear",39.13479963,-77.20571014
"MCP2671004P","2025-12-31","Clear",38.98987715,-77.01927839
"MCP2844008W","2025-12-31","Clear",39.03556967,-77.049603
"EJ7887006L","2025-12-31","Clear",39.11478549,-77.19756652
"MCP28550065","2025-12-31","Clear",38.996762,-76.99331567
"MCP1260001Q","2025-12-31","Clear",39.27246691,-77.27708394
"MCP3192006Z","2025-12-31","Clear",39.05221644,-77.07477354
"MCP1310000R","2025-12-31","Clear",39.0179965,-77.2051045
"MCP3386003S","2025-12-31","Clear",38.98220083,-77.095509
"MCP3372004H","2025-12-31","Clear",39.08760633,-77.07961983
"MCP3084007K","2025-12-31","Clear",39.04912287,-77.11398614
"MCP2930005Y","2025-12-31","Cloudy",39.1493388,-77.01248188
"MCP3322004T","2025-12-31","Cloudy",39.091634,-77.08686733
"MCP3424001R","2025-12-31","Clear",39.16506117,-77.16864933
"MCP003600JM","2025-12-31","Cloudy",39.10064818,-77.21346527
"MCP3355001Z","2025-12-31","Clear",38.99436847,-77.02667784
"MCP304800FQ","2025-12-31","Clear",39.04338782,-77.11196466
"MCP203900DH","2025-12-31","Clear",39.09022983,-77.00015483
"MCP27450039","2025-12-31","Clear",39.02579907,-77.06963092
"MCP3275003P","2025-12-31","Clear",39.01459888,-77.04216836
"EJ79140013","2025-12-30","Clear",39.14395848,-77.20160009
"DD5673002G","2025-12-30","Clear",39.06668517,-77.15368403
"MCP3352003B","2025-12-30","Clear",39.08390885,-77.0771606
"MCP2466006P","2025-12-30","Clear",39.10993989,-77.3026423
"MCP287100DB","2025-12-30","Clear",38.9796815,-77.07714483
"MCP2798007B","2025-12-30","Clear",39.18161019,-77.27067285
"DD56570037","2025-12-30","Clear",39.07390924,-77.13297526
"DD5663002P","2025-12-30","Clear",39.06035333,-77.12256449
"DM8522004X","2025-12-30","Clear",38.9822255,-77.00153667
"MCP3271006S","2025-12-30","Clear",39.04901916,-77.11408385
"EJ7904003R","2025-12-30","Clear",39.11517379,-77.2149139
"MCP3424001P","2025-12-30","Clear",39.1554791,-77.16579512
"MCP3374004B","2025-12-30","Clear",38.97499488,-77.16131028
"MCP120500DK","2025-12-30","Cloudy",38.99531933,-77.03625
"DD57050008","2025-12-30","Cloudy",39.06692907,-77.15384876
"MCP34390012","2025-12-30","Cloudy",39.052102,-77.065791
"MCP3402004X","2025-12-30","Clear",39.01531431,-76.97777212
"HA2434000T","2025-12-30","Clear",38.96877293,-77.1010226
"DD5690000R","2025-12-29","Clear",39.07633797,-77.13846406
"MCP3417001K","2025-12-29","Severe Crosswinds",38.98548268,-77.08672307
"MCP3208007N","2025-12-29","Clear",39.04122419,-76.98591123
"MCP3053009L","2025-12-29","Clear",39.06735484,-77.06048197
"EJ78950086","2025-12-29","Clear",39.14163249,-77.2171149
"MCP3329005B","2025-12-29","Clear",39.04428033,-76.9929505
"MCP20690013","2025-12-29","Clear",39.28463077,-77.20792498
"MCP2376001L","2025-12-29","Clear",39.0093291,-77.0808129
"MCP219800JF","2025-12-29","Clear",39.12521698,-77.17494619
"EJ7899002N","2025-12-29","Clear",39.14360233,-77.21611317
"MCP2756007K","2025-12-29","Severe Crosswinds",39.04076403,-77.05136014
"MCP20690012","2025-12-29","Clear",39.288207,-77.20638786
"MCP31910052","2025-12-29","Severe Crosswinds",39.11786353,-77.26131646
"MCP2346000B","2025-12-29","Clear",39.09177325,-77.04561305
"MCP2641005L","2025-12-29","Clear",39.18213992,-77.26017079
"MCP3229002X","2025-12-29","Clear",39.03349665,-77.12546461
"EJ7904003Q","2025-12-29","Severe Crosswinds",39.13992994,-77.22185444
"MCP2761007Q","2025-12-29","Clear",39.1635005,-77.2844535
"MCP27860051","2025-12-29","Clear",39.18106129,-77.26221505
"MCP3280007M","2025-12-29","Rain",39.05756122,-76.96811964
"MCP3303002L","2025-12-29","Rain",39.17926167,-77.26518833
"MCP3423002Z","2025-12-29","Cloudy",39.05451752,-76.96966997
"MCP3303002K","2025-12-29","Rain",39.20187167,-77.25369167
"MCP2641005K","2025-12-29","Cloudy",39.27293617,-77.27700017
"MCP2077006Q","2025-12-29","Cloudy",39.02304958,-77.13556093
"MCP2270005J","2025-12-29","Cloudy",39.05272644,-77.1260152
"MCP2420006J","2025-12-29","Cloudy",39.03565383,-77.02584087
"EJ78910038","2025-12-29","Clear",39.14322967,-77.23450217
"MCP9118005L","2025-12-29","Clear",39.0577906,-77.04984342
"MCP23300055","2025-12-28","Rain",39.13315364,-77.25834231
"MCP2905007J","2025-12-28","Cloudy",39.0040045,-77.1987635
"MCP26080063","2025-12-28","Clear",39.0312095,-77.00499033
"MCP32180065","2025-12-28","Clear",39.02384017,-77.023802
"MCP33350043","2025-12-28","Clear",39.01532167,-76.97778327
"MCP2641005J","2025-12-28","Clear",39.15414616,-77.25427699
"MCP3163009P","2025-12-28","Clear",38.99245243,-77.03612987
"MCP2921005Y","2025-12-28","Clear",39.18161176,-77.23178159
"MCP3441001X","2025-12-28","Clear",39.02468099,-77.08452255
"MCP301000CQ","2025-12-28","Clear",39.03291311,-77.07482437
"DD5659001C","2025-12-28","Unknown",39.07919548,-77.13436972
"MCP301000CP","2025-12-28","Clear",38.99471644,-77.07750639
"MCP9322002C","2025-12-28","Clear",39.09847125,-76.96482464
"HA25560008","2025-12-27","Clear",39.05847491,-77.0378137
"MCP3214003N","2025-12-27","Clear",39.18020133,-77.238301
"MCP33480059","2025-12-27","Clear",39.0846165,-77.000054
"MCP2780008Y","2025-12-27","Clear",39.25443917,-77.22772017
"MCP3320004D","2025-12-27","Clear",39.0249175,-77.04605333
"MCP229801B3","2025-12-27","Clear",39.09375793,-76.99327053
"MCP3212004B","2025-12-27","Clear",38.99736577,-77.02721691
"MCP32600022","2025-12-27","Cloudy",38.98736259,-77.02666336
"MCP2771005Q","2025-12-27","Cloudy",39.05993057,-77.04796951
"MCP304800FP","2025-12-27","Clear",38.98739356,-77.09495516
"MCP32010092","2025-12-27","Cloudy",39.16881316,-77.23417248
"MCP3214003M","2025-12-27","Clear",39.2173075,-77.23868417
"MCP31970057","2025-12-26","Clear",39.10107267,-76.978957
"EJ7902002D","2025-12-26","Clear",39.16380733,-77.22671733
"MCP33780022","2025-12-26","Clear",39.03977633,-77.050599
"MCP229801B2","2025-12-26","Clear",39.09402023,-77.11181928
"DM8386002G","2025-12-26","Clear",38.97249145,-77.01092329
"DD56800027","2025-12-26","Clear",39.08315385,-77.15290436
"MCP34070023","2025-12-26","Clear",39.17617,-77.245655
"EJ7906003D","2025-12-26","Rain",39.12334,-77.23662667
"MCP33780020","2025-12-26","Clear",39.06059834,-77.05148509
"MCP3162006G","2025-12-26","Cloudy",38.9943409,-77.03109877
"MCP3408002J","2025-12-26","Cloudy",38.99249949,-77.03252371
"MCP284500B7","2025-12-26","Cloudy",39.08434594,-76.95122065
"DD56530061","2025-12-26","Cloudy",39.07651235,-77.14013275
"MCP2385003V","2025-12-26","Clear",39.28306583,-77.21104567
"MCP3391002B","2025-12-26","Clear",39.06265697,-77.07733435
"EJ7884007R","2025-12-25","Clear",39.11784298,-77.21620164
"MCP3372004G","2025-12-25","Clear",39.07079197,-77.10259142
"MCP3230007V","2025-12-25","Clear",39.14703549,-77.01754724
"MCP3268006G","2025-12-25","Clear",39.05431899,-76.95582535
"MCP3424001N","2025-12-25","Clear",39.16771811,-77.1743133
"MCP34330018","2025-12-25","Clear",39.10428277,-76.93331458
"MCP137801FB","2025-12-25","Clear",39.15936533,-77.21932033
"MCP3107003P","2025-12-25","Clear",39.20190667,-77.184407
"DD5669001K","2025-12-25","Clear",39.08672747,-77.13895829
"MCP3451000Z","2025-12-25","Clear",38.99126721,-77.02657071
"MCP3451000Y","2025-12-25","Clear",38.98792461,-77.02357148
"DD5701000F","2025-12-24","Clear",39.08955466,-77.17489272
"MCP28990071","2025-12-24","Clear",39.04468333,-76.95242667
"DD5631006G","2025-12-24","Clear",39.07423726,-77.13534802
"MCP229801B1","2025-12-24","Clear",39.28806324,-77.20661713
"MCP30380089","2025-12-24","Clear",38.99162548,-77.02638741
"MCP34110039","2025-12-24","Clear",38.99029733,-77.15248867
"EJ7902002C","2025-12-24","Clear",39.12964494,-77.1959643
"EJ78950085","2025-12-24","Clear",39.15546975,-77.21550807
"MCP3255007N","2025-12-24","Clear",39.19393657,-77.18492188
"MCP3322004Q","2025-12-24","Clear",39.07983209,-77.07218738
"MCP2930005X","2025-12-24","Clear",39.0800929,-77.07228026
"MCP235800F7","2025-12-24","Clear",39.0498621,-77.11560987
"MCP296200BT","2025-12-24","Clear",39.170714,-77.26163517
"MCP137801F9","2025-12-24","Clear",39.05747533,-77.123848
"MCP23470066","2025-12-24","Clear",39.02614994,-77.01080497
"DD556700C0","2025-12-24","Clear",39.0618906,-77.12395211
"MCP3040008Y","2025-12-24","Clear",39.07759487,-77.07081072
