"latitude","longitude","date","prcp"
39.069477,-77.041134,2025-01-01,0.48
39.069477,-77.041134,2025-01-03,0
39.069477,-77.041134,2025-01-10,0
39.069477,-77.041134,2025-01-12,0
39.069477,-77.041134,2025-01-15,0
39.069477,-77.041134,2025-01-30,0
39.069477,-77.041134,2025-01-31,0.05
39.069477,-77.041134,2025-02-01,0.61
39.069477,-77.041134,2025-02-03,0
39.069477,-77.041134,2025-02-05,0
39.069477,-77.041134,2025-02-06,0.42
39.069477,-77.041134,2025-02-07,0.22
39.069477,-77.041134,2025-02-08,0
39.069477,-77.041134,2025-02-09,0.09
39.069477,-77.041134,2025-02-11,0
39.069477,-77.041134,2025-02-16,0.7
39.069477,-77.041134,2025-02-17,0.41
39.069477,-77.041134,2025-02-18,0
39.069477,-77.041134,2025-02-22,0
39.069477,-77.041134,2025-02-25,0
39.069477,-77.041134,2025-02-27,0
39.069477,-77.041134,2025-02-28,0.03
39.069477,-77.041134,2025-03-01,0
39.069477,-77.041134,2025-03-03,0
39.069477,-77.041134,2025-03-04,0
39.069477,-77.041134,2025-03-05,0
39.069477,-77.041134,2025-03-08,0
39.069477,-77.041134,2025-03-09,0
39.069477,-77.041134,2025-03-11,0
39.069477,-77.041134,2025-03-15,0
39.069477,-77.041134,2025-03-16,0
39.069477,-77.041134,2025-03-17,0.47
39.069477,-77.041134,2025-03-18,0
39.069477,-77.041134,2025-03-20,0
39.069477,-77.041134,2025-03-21,0.33
39.069477,-77.041134,2025-03-22,0
39.069477,-77.041134,2025-03-24,0.02
39.069477,-77.041134,2025-03-25,0.03
39.069477,-77.041134,2025-03-27,0
39.069477,-77.041134,2025-03-29,0
39.069477,-77.041134,2025-04-01,0.83
39.069477,-77.041134,2025-04-03,0.02
39.069477,-77.041134,2025-04-04,0.16
39.069477,-77.041134,2025-04-10,0
39.069477,-77.041134,2025-04-11,0
39.069477,-77.041134,2025-04-12,0.89
39.069477,-77.041134,2025-04-13,0.04
39.069477,-77.041134,2025-04-14,0
39.069477,-77.041134,2025-04-15,0.13
39.069477,-77.041134,2025-04-16,0
39.069477,-77.041134,2025-04-18,0
39.069477,-77.041134,2025-04-19,0
39.069477,-77.041134,2025-04-21,0
39.069477,-77.041134,2025-04-23,0
39.069477,-77.041134,2025-04-24,0
39.069477,-77.041134,2025-04-25,0
39.069477,-77.041134,2025-04-26,0.54
39.069477,-77.041134,2025-04-27,0.28
39.069477,-77.041134,2025-04-28,0
39.069477,-77.041134,2025-04-30,0.05
39.069477,-77.041134,2025-05-03,0.19
39.069477,-77.041134,2025-05-04,0.31
39.069477,-77.041134,2025-05-05,0.18
39.069477,-77.041134,2025-05-06,1.16
39.069477,-77.041134,2025-05-07,0.03
39.069477,-77.041134,2025-05-09,0.43
39.069477,-77.041134,2025-05-10,0.05
39.069477,-77.041134,2025-05-11,0
39.069477,-77.041134,2025-05-13,0.49
39.069477,-77.041134,2025-05-14,1.84
39.069477,-77.041134,2025-05-15,0.1
39.069477,-77.041134,2025-05-16,0
39.069477,-77.041134,2025-05-17,0.32
39.069477,-77.041134,2025-05-18,0
39.069477,-77.041134,2025-05-20,0
39.069477,-77.041134,2025-05-21,0.07
39.069477,-77.041134,2025-05-22,0.91
39.069477,-77.041134,2025-05-24,0
39.069477,-77.041134,2025-05-25,0
39.069477,-77.041134,2025-05-26,0
39.069477,-77.041134,2025-05-27,0
39.069477,-77.041134,2025-05-28,0.71
39.069477,-77.041134,2025-05-29,0.75
39.069477,-77.041134,2025-05-30,0.01
39.069477,-77.041134,2025-05-31,1.67
39.069477,-77.041134,2025-06-01,0.1
39.069477,-77.041134,2025-06-02,0
39.069477,-77.041134,2025-06-03,0
39.069477,-77.041134,2025-06-05,0
39.069477,-77.041134,2025-06-06,0
39.069477,-77.041134,2025-06-07,0.01
39.069477,-77.041134,2025-06-08,0.02
39.069477,-77.041134,2025-06-09,0.33
39.069477,-77.041134,2025-06-10,0
39.069477,-77.041134,2025-06-11,0.39
39.069477,-77.041134,2025-06-12,0
39.069477,-77.041134,2025-06-14,0.25
39.069477,-77.041134,2025-06-15,0.49
39.069477,-77.041134,2025-06-16,0.21
39.069477,-77.041134,2025-06-17,0.29
39.069477,-77.041134,2025-06-18,0.02
39.069477,-77.041134,2025-06-19,1.44
39.069477,-77.041134,2025-06-20,0.34
39.069477,-77.041134,2025-06-21,0
39.069477,-77.041134,2025-06-22,0
39.069477,-77.041134,2025-06-23,0
39.069477,-77.041134,2025-06-24,0
39.069477,-77.041134,2025-06-25,0
39.069477,-77.041134,2025-06-26,0
39.069477,-77.041134,2025-06-27,1.6
39.069477,-77.041134,2025-06-30,0
39.069477,-77.041134,2025-07-01,0
39.069477,-77.041134,2025-07-02,0.83
39.069477,-77.041134,2025-07-04,0
39.069477,-77.041134,2025-07-05,0
39.069477,-77.041134,2025-07-06,0
39.069477,-77.041134,2025-07-07,0
39.069477,-77.041134,2025-07-08,0.04
39.069477,-77.041134,2025-07-09,0.12
39.069477,-77.041134,2025-07-10,0.62
39.069477,-77.041134,2025-07-12,0
39.069477,-77.041134,2025-07-13,0.81
39.069477,-77.041134,2025-07-14,0.13
39.069477,-77.041134,2025-07-15,1.45
39.069477,-77.041134,2025-07-16,0
39.069477,-77.041134,2025-07-18,0.24
39.069477,-77.041134,2025-07-20,3.62
39.069477,-77.041134,2025-07-21,0.03
39.069477,-77.041134,2025-07-24,0
39.069477,-77.041134,2025-07-26,0
39.069477,-77.041134,2025-07-27,0.1
39.069477,-77.041134,2025-07-28,0.56
39.069477,-77.041134,2025-07-29,0
39.069477,-77.041134,2025-07-30,0
39.069477,-77.041134,2025-07-31,0
39.069477,-77.041134,2025-08-01,0.6
39.069477,-77.041134,2025-08-02,0.03
39.069477,-77.041134,2025-08-03,0
39.069477,-77.041134,2025-08-04,0
39.069477,-77.041134,2025-08-05,0
39.069477,-77.041134,2025-08-06,0
39.069477,-77.041134,2025-08-07,0
39.069477,-77.041134,2025-08-08,0
39.069477,-77.041134,2025-08-09,0
39.069477,-77.041134,2025-08-10,0
39.069477,-77.041134,2025-08-11,0
39.069477,-77.041134,2025-08-12,0
39.069477,-77.041134,2025-08-16,0
39.069477,-77.041134,2025-08-18,0.1
39.069477,-77.041134,2025-08-19,0.02
39.069477,-77.041134,2025-08-20,0.05
39.069477,-77.041134,2025-08-23,0
39.069477,-77.041134,2025-08-24,0
39.069477,-77.041134,2025-08-25,0
39.069477,-77.041134,2025-08-26,0
39.069477,-77.041134,2025-08-27,0
39.069477,-77.041134,2025-09-06,0
39.069477,-77.041134,2025-10-08,0.24
39.069477,-77.041134,2025-10-09,0.02
39.069477,-77.041134,2025-10-10,0
39.069477,-77.041134,2025-10-12,0.05
39.069477,-77.041134,2025-10-13,0.02
39.069477,-77.041134,2025-10-14,0.05
39.069477,-77.041134,2025-10-15,0
39.069477,-77.041134,2025-10-16,0
39.069477,-77.041134,2025-10-18,0
39.069477,-77.041134,2025-10-19,0
39.069477,-77.041134,2025-10-20,0.39
39.069477,-77.041134,2025-10-21,0
39.069477,-77.041134,2025-10-22,0.12
39.069477,-77.041134,2025-10-23,0
39.069477,-77.041134,2025-10-25,0
39.069477,-77.041134,2025-10-26,0
39.069477,-77.041134,2025-10-27,0
39.069477,-77.041134,2025-10-30,1.11
39.069477,-77.041134,2025-10-31,0.28
39.069477,-77.041134,2025-11-01,0
39.069477,-77.041134,2025-11-02,0
39.069477,-77.041134,2025-11-04,0
39.069477,-77.041134,2025-11-05,0
39.069477,-77.041134,2025-11-06,0
39.069477,-77.041134,2025-11-07,0
39.069477,-77.041134,2025-11-08,0.33
39.069477,-77.041134,2025-11-09,0
39.069477,-77.041134,2025-11-10,0.06
39.069477,-77.041134,2025-11-11,0
39.069477,-77.041134,2025-11-12,0
39.069477,-77.041134,2025-11-14,0
39.069477,-77.041134,2025-11-15,0
39.069477,-77.041134,2025-11-16,0.09
39.069477,-77.041134,2025-11-18,0
39.069477,-77.041134,2025-11-19,0.35
39.069477,-77.041134,2025-11-20,0
39.069477,-77.041134,2025-11-21,0
39.069477,-77.041134,2025-11-22,0.21
39.069477,-77.041134,2025-11-26,0.28
39.069477,-77.041134,2025-11-28,0
39.069477,-77.041134,2025-11-29,0
39.069477,-77.041134,2025-11-30,0
39.069477,-77.041134,2025-12-01,0.1
39.069477,-77.041134,2025-12-02,0.19
39.069477,-77.041134,2025-12-03,0.66
39.069477,-77.041134,2025-12-04,0
39.069477,-77.041134,2025-12-18,0
39.069477,-77.041134,2025-12-19,0.16
39.069477,-77.041134,2025-12-20,0.08
39.069477,-77.041134,2025-12-21,0
39.069477,-77.041134,2025-12-23,0.01
39.069477,-77.041134,2025-12-26,0
39.069477,-77.041134,2025-12-27,0
39.25341,-77.195779,2025-03-17,0.23
39.25341,-77.195779,2025-03-21,NA
39.25341,-77.195779,2025-04-03,0.03
39.25341,-77.195779,2025-04-04,0.08
39.25341,-77.195779,2025-04-06,NA
39.25341,-77.195779,2025-04-07,0.34
39.25341,-77.195779,2025-04-30,0.25
39.25341,-77.195779,2025-05-13,0.51
39.25341,-77.195779,2025-05-14,1.23
39.25341,-77.195779,2025-05-15,0.32
39.25341,-77.195779,2025-05-16,0
39.25341,-77.195779,2025-05-21,0.18
39.25341,-77.195779,2025-05-22,0.53
39.25341,-77.195779,2025-05-24,0.1
39.25341,-77.195779,2025-05-29,NA
39.25341,-77.195779,2025-06-09,0.55
39.25341,-77.195779,2025-06-14,1.21
39.25341,-77.195779,2025-06-16,NA
39.25341,-77.195779,2025-06-17,0.49
39.25341,-77.195779,2025-06-18,0.53
39.25341,-77.195779,2025-06-19,0.74
39.25341,-77.195779,2025-06-20,0.68
39.25341,-77.195779,2025-07-01,0.08
39.25341,-77.195779,2025-07-02,1.52
39.25341,-77.195779,2025-07-07,0
39.25341,-77.195779,2025-07-08,0
39.25341,-77.195779,2025-07-09,0.03
39.25341,-77.195779,2025-07-10,0.25
39.25341,-77.195779,2025-07-15,0.23
39.25341,-77.195779,2025-07-17,0.79
39.25341,-77.195779,2025-08-01,1.37
39.25341,-77.195779,2025-10-20,0.48
39.25341,-77.195779,2025-11-22,0.24
39.25341,-77.195779,2025-11-26,0.39
39.17806,-77.18306,2025-01-01,0.43
39.17806,-77.18306,2025-01-02,0
39.17806,-77.18306,2025-01-03,0
39.17806,-77.18306,2025-01-04,0.05
39.17806,-77.18306,2025-01-05,0
39.17806,-77.18306,2025-01-06,0.45
39.17806,-77.18306,2025-01-07,0.24
39.17806,-77.18306,2025-01-08,0
39.17806,-77.18306,2025-01-09,0
39.17806,-77.18306,2025-01-10,0
39.17806,-77.18306,2025-01-11,0.13
39.17806,-77.18306,2025-01-12,0
39.17806,-77.18306,2025-01-13,0
39.17806,-77.18306,2025-01-14,0
39.17806,-77.18306,2025-01-15,0
39.17806,-77.18306,2025-01-16,0
39.17806,-77.18306,2025-01-17,0
39.17806,-77.18306,2025-01-18,0
39.17806,-77.18306,2025-01-19,0.03
39.17806,-77.18306,2025-01-20,0.34
39.17806,-77.18306,2025-01-21,0
39.17806,-77.18306,2025-01-22,0
39.17806,-77.18306,2025-01-23,0
39.17806,-77.18306,2025-01-24,0
39.17806,-77.18306,2025-01-25,0
39.17806,-77.18306,2025-01-26,0
39.17806,-77.18306,2025-01-27,0
39.17806,-77.18306,2025-01-28,0
39.17806,-77.18306,2025-01-29,0
39.17806,-77.18306,2025-01-30,0
39.17806,-77.18306,2025-01-31,0.04
39.17806,-77.18306,2025-02-01,0.49
39.17806,-77.18306,2025-02-02,0
39.17806,-77.18306,2025-02-03,0
39.17806,-77.18306,2025-02-04,0
39.17806,-77.18306,2025-02-05,0
39.17806,-77.18306,2025-02-06,0.2
39.17806,-77.18306,2025-02-07,0.26
39.17806,-77.18306,2025-02-08,0
39.17806,-77.18306,2025-02-09,0.07
39.17806,-77.18306,2025-02-10,0
39.17806,-77.18306,2025-02-11,0
39.17806,-77.18306,2025-02-12,0.38
39.17806,-77.18306,2025-02-13,0.29
39.17806,-77.18306,2025-02-14,0.01
39.17806,-77.18306,2025-02-15,0
39.17806,-77.18306,2025-02-16,0.52
39.17806,-77.18306,2025-02-17,0.32
39.17806,-77.18306,2025-02-18,0
39.17806,-77.18306,2025-02-19,0
39.17806,-77.18306,2025-02-20,0
39.17806,-77.18306,2025-02-21,0
39.17806,-77.18306,2025-02-22,0
39.17806,-77.18306,2025-02-23,0
39.17806,-77.18306,2025-02-24,0
39.17806,-77.18306,2025-02-25,0
39.17806,-77.18306,2025-02-26,0
39.17806,-77.18306,2025-02-27,0
39.17806,-77.18306,2025-02-28,0.01
39.17806,-77.18306,2025-03-01,0
39.17806,-77.18306,2025-03-02,0
39.17806,-77.18306,2025-03-03,0
39.17806,-77.18306,2025-03-04,0
39.17806,-77.18306,2025-03-05,0
39.17806,-77.18306,2025-03-06,0.57
39.17806,-77.18306,2025-03-07,0
39.17806,-77.18306,2025-03-08,0
39.17806,-77.18306,2025-03-09,0
39.17806,-77.18306,2025-03-10,0
39.17806,-77.18306,2025-03-11,0
39.17806,-77.18306,2025-03-12,0
39.17806,-77.18306,2025-03-13,0
39.17806,-77.18306,2025-03-14,0
39.17806,-77.18306,2025-03-15,0
39.17806,-77.18306,2025-03-16,0
39.17806,-77.18306,2025-03-17,0.31
39.17806,-77.18306,2025-03-18,0
39.17806,-77.18306,2025-03-19,0
39.17806,-77.18306,2025-03-20,0
39.17806,-77.18306,2025-03-21,0.26
39.17806,-77.18306,2025-03-22,0
39.17806,-77.18306,2025-03-23,0
39.17806,-77.18306,2025-03-24,0.01
39.17806,-77.18306,2025-03-25,0
39.17806,-77.18306,2025-03-26,0
39.17806,-77.18306,2025-03-27,0
39.17806,-77.18306,2025-03-28,0
39.17806,-77.18306,2025-03-29,0.01
39.17806,-77.18306,2025-03-30,0
39.17806,-77.18306,2025-03-31,0
39.17806,-77.18306,2025-04-01,0.56
39.17806,-77.18306,2025-04-02,0
39.17806,-77.18306,2025-04-03,0.02
39.17806,-77.18306,2025-04-04,0.06
39.17806,-77.18306,2025-04-05,0.02
39.17806,-77.18306,2025-04-06,0.02
39.17806,-77.18306,2025-04-07,0.06
39.17806,-77.18306,2025-04-08,0.13
39.17806,-77.18306,2025-04-09,0
39.17806,-77.18306,2025-04-10,0
39.17806,-77.18306,2025-04-11,0.03
39.17806,-77.18306,2025-04-12,0.4
39.17806,-77.18306,2025-04-13,0.02
39.17806,-77.18306,2025-04-14,0
39.17806,-77.18306,2025-04-15,0.06
39.17806,-77.18306,2025-04-16,0
39.17806,-77.18306,2025-04-17,0
39.17806,-77.18306,2025-04-18,0
39.17806,-77.18306,2025-04-19,0
39.17806,-77.18306,2025-04-20,0
39.17806,-77.18306,2025-04-21,0
39.17806,-77.18306,2025-04-22,0.02
39.17806,-77.18306,2025-04-23,0
39.17806,-77.18306,2025-04-24,0
39.17806,-77.18306,2025-04-25,0
39.17806,-77.18306,2025-04-26,0.27
39.17806,-77.18306,2025-04-27,0.04
39.17806,-77.18306,2025-04-28,0
39.17806,-77.18306,2025-04-29,0
39.17806,-77.18306,2025-04-30,0.03
39.17806,-77.18306,2025-05-01,0
39.17806,-77.18306,2025-05-02,0
39.17806,-77.18306,2025-05-03,0
39.17806,-77.18306,2025-05-04,0.58
39.17806,-77.18306,2025-05-05,0.06
39.17806,-77.18306,2025-05-06,1.09
39.17806,-77.18306,2025-05-07,0.1
39.17806,-77.18306,2025-05-08,0
39.17806,-77.18306,2025-05-09,0.23
39.17806,-77.18306,2025-05-10,0.18
39.17806,-77.18306,2025-05-11,0
39.17806,-77.18306,2025-05-12,0
39.17806,-77.18306,2025-05-13,0.42
39.17806,-77.18306,2025-05-14,1.52
39.17806,-77.18306,2025-05-15,0.38
39.17806,-77.18306,2025-05-16,0.01
39.17806,-77.18306,2025-05-17,0.84
39.17806,-77.18306,2025-05-18,0
39.17806,-77.18306,2025-05-19,0
39.17806,-77.18306,2025-05-20,0
39.17806,-77.18306,2025-05-21,0.08
39.17806,-77.18306,2025-05-22,0.65
39.17806,-77.18306,2025-05-23,0.08
39.17806,-77.18306,2025-05-24,0
39.17806,-77.18306,2025-05-25,0
39.17806,-77.18306,2025-05-26,0
39.17806,-77.18306,2025-05-27,0
39.17806,-77.18306,2025-05-28,0.56
39.17806,-77.18306,2025-05-29,0.8
39.17806,-77.18306,2025-05-30,0.01
39.17806,-77.18306,2025-05-31,1.06
39.17806,-77.18306,2025-06-01,0.01
39.17806,-77.18306,2025-06-02,0
39.17806,-77.18306,2025-06-03,0
39.17806,-77.18306,2025-06-04,0
39.17806,-77.18306,2025-06-05,0
39.17806,-77.18306,2025-06-06,0
39.17806,-77.18306,2025-06-07,0.03
39.17806,-77.18306,2025-06-08,0.03
39.17806,-77.18306,2025-06-09,0.17
39.17806,-77.18306,2025-06-10,0
39.17806,-77.18306,2025-06-11,0
39.17806,-77.18306,2025-06-12,0
39.17806,-77.18306,2025-06-13,0
39.17806,-77.18306,2025-06-14,0.1
39.17806,-77.18306,2025-06-15,0.04
39.17806,-77.18306,2025-06-16,0.08
39.17806,-77.18306,2025-06-17,0.88
39.17806,-77.18306,2025-06-18,0.27
39.17806,-77.18306,2025-06-19,1.68
39.17806,-77.18306,2025-06-20,0.37
39.17806,-77.18306,2025-06-21,0
39.17806,-77.18306,2025-06-22,0
39.17806,-77.18306,2025-06-23,0
39.17806,-77.18306,2025-06-24,0
39.17806,-77.18306,2025-06-25,0
39.17806,-77.18306,2025-06-26,0
39.17806,-77.18306,2025-06-27,0.02
39.17806,-77.18306,2025-06-28,0.02
39.17806,-77.18306,2025-06-29,0.01
39.17806,-77.18306,2025-06-30,0
39.17806,-77.18306,2025-07-01,0
39.17806,-77.18306,2025-07-02,0.73
39.17806,-77.18306,2025-07-03,0.01
39.17806,-77.18306,2025-07-04,0
39.17806,-77.18306,2025-07-05,0
39.17806,-77.18306,2025-07-06,0
39.17806,-77.18306,2025-07-07,0
39.17806,-77.18306,2025-07-08,0
39.17806,-77.18306,2025-07-09,0.7
39.17806,-77.18306,2025-07-10,0.72
39.17806,-77.18306,2025-07-11,0
